"","V1","V2"
"1","acceleration","acceleration"
"2","accurately","accurately"
"3","actioned","actioned"
"4","actuals","actuals"
"5","adaptation","adaptation"
"6","adapted","adaptation"
"7","additional","additional"
"8","addressed","addressed"
"9","advisory","advisories"
"10","ah","ah"
"11","ai","ai"
"12","air","air"
"13","alarm","alarm"
"14","alarms","alarm"
"15","alert","alert"
"16","alerting","alert"
"17","alerts","alert"
"18","alias","alias"
"19","ambient","ambient"
"20","ammonia","ammonia"
"21","analyzer","analyzer"
"22","antisurge","antisurge"
"23","ao","ao"
"24","aph","aph"
"25","asset","asset"
"26","assets","asset"
"27","attemp","attemperator"
"28","attemperator","attemperator"
"29","average","average"
"30","avg","average"
"31","axial","axial"
"32","backpressure","backpressure"
"33","bank","bank"
"34","baseline","baseline"
"35","baseload","baseload"
"36","bdm","bdm"
"37","bearing","bearing"
"38","bearings","bearing"
"39","bfp","bfp"
"40","bias","bias"
"41","bleed","bleed"
"42","blowdown","blowdown"
"43","bo","bo"
"44","boiler","boiler"
"45","booster","booster"
"46","bp","bp"
"47","brg","bearing"
"48","btgj","btgj"
"49","btj","btj"
"50","buffer","buffer"
"51","burner","burner"
"52","calibration","calibration"
"53","casing","casing"
"54","cat","cat"
"55","cation","cation"
"56","center","center"
"57","ch","ch"
"58","chart","chart"
"59","charts","chart"
"60","chiller","chiller"
"61","circ","circ"
"62","cleared","cleared"
"63","close","close"
"64","closed","close"
"65","closely","close"
"66","closing","close"
"67","cmm","cmm"
"68","co","co"
"69","coal","coal"
"70","cold","cold"
"71","collector","collector"
"72","combustion","combustion"
"73","combustor","combustor"
"74","command","command"
"75","comp","comp"
"76","compressor","compressor"
"77","concentration","concentration"
"78","cond","cond"
"79","condensate","condensate"
"80","condenser","condensate"
"81","condition","condition"
"82","conditions","condition"
"83","conductivity","conductivity"
"84","consistently","consistently"
"85","content","content"
"86","continues","continues"
"87","continuing","continues"
"88","control","control"
"89","controller","control"
"90","coolant","coolant"
"91","cooler","cooler"
"92","cooling","cooling"
"93","core","core"
"94","correct","correct"
"95","correctly","correct"
"96","correlate","correlate"
"97","correlates","correlate"
"98","correspond","correspond"
"99","counts","counts"
"100","coupling","coupling"
"101","ctg","ctg"
"102","ctrl","control"
"103","current","current"
"104","curtailed","curtailed"
"105","curtailment","curtailed"
"106","cv","cv"
"107","cw","cw"
"108","cycle","cycle"
"109","cycling","cycle"
"110","cyl","cylinder"
"111","cylinder","cylinder"
"112","cylinders","cylinder"
"113","damper","damper"
"114","data","data"
"115","datafeed","datafeed"
"116","dates","dates"
"117","day","day"
"118","de","de"
"119","decrease","decrease"
"120","decreased","decrease"
"121","decreases","decrease"
"122","decreasing","decrease"
"123","delivery","delivery"
"124","delta","delta"
"125","demand","demand"
"126","desup","desuperheater"
"127","desuperheater","desuperheater"
"128","detector","detector"
"129","detectors","detector"
"130","deviate","deviate"
"131","deviated","deviate"
"132","deviating","deviate"
"133","deviation","deviate"
"134","deviations","deviate"
"135","diff","difference"
"136","differential","differential"
"137","disc","disc"
"138","disch","discharge"
"139","discharge","discharge"
"140","displacement","displacement"
"141","displaying","displaying"
"142","dissolved","dissolved"
"143","dmd","dmd"
"144","downward","downward"
"145","dp","dp"
"146","drain","drain"
"147","drive","drive"
"148","driver","driver"
"149","dropped","dropped"
"150","dropping","dropped"
"151","drum","drum"
"152","dsh","dsh"
"153","duct","duct"
"154","econ","econ"
"155","economizer","economizer"
"156","efficiency","efficiency"
"157","electrical","electrical"
"158","elevated","elevated"
"159","engine","engine"
"160","erratic","erratic"
"161","erratically","erratic"
"162","estimate","estimate"
"163","estimated","estimate"
"164","estimates","estimate"
"165","exceeded","exceeded"
"166","exceeding","exceeded"
"167","exciter","exciter"
"168","exh","exhaust"
"169","exhaust","exhaust"
"170","exhibited","exhibited"
"171","exhibiting","exhibited"
"172","fan","fan"
"173","fans","fan"
"174","faulted","faulted"
"175","fd","fd"
"176","february","february"
"177","feed","feed"
"178","feedwater","feedwater"
"179","fi","fi"
"180","filter","filter"
"181","firing","firing"
"182","fixed","fixed"
"183","flame","flame"
"184","flat","flat"
"185","flatline","flatline"
"186","flatlined","flatline"
"187","flatlines","flatline"
"188","flatlining","flatline"
"189","flow","flow"
"190","flows","flow"
"191","fluctuate","fluctuate"
"192","fluctuating","fluctuate"
"193","fluctuations","fluctuate"
"194","flue","flue"
"195","fluid","fluid"
"196","fo","fo"
"197","fr","fr"
"198","frequently","frequently"
"199","fuel","fuel"
"200","fw","fw"
"201","fwh","fwh"
"202","fwp","fw pump"
"203","gas","gas"
"204","gb","gb"
"205","gear","gear"
"206","gearbox","gearbox"
"207","geip","geip"
"208","gen","generator"
"209","generator","generator"
"210","gg","gg"
"211","gradually","gradual"
"212","gross","gross"
"213","gt","gt"
"214","heat","heat"
"215","heater","heater"
"216","heating","heat"
"217","hg","hg"
"218","historical","historical"
"219","historically","historical"
"220","ho","ho"
"221","horizontal","horizontal"
"222","hot","hot"
"223","hotter","hotter"
"224","hottest","hottest"
"225","hotwell","hotwell"
"226","hp","hp"
"227","hpt","hpt"
"228","hrsg","hrsg"
"229","hrsgs","hrsgs"
"230","hs","hs"
"231","ht","ht"
"232","htr","htr"
"233","hydraulic","hydraulic"
"234","hydrogen","hydrogen"
"235","ib","ib"
"236","igv","igv"
"237","improved","improved"
"238","ims","ims"
"239","inactive","inactive"
"240","inboard","inboard"
"241","incidents","incidents"
"242","increase","increase"
"243","increases","increase"
"244","increasing","increase"
"245","industrial","industrial"
"246","inh","inh"
"247","inho","inho"
"248","injection","injection"
"249","inlet","inlet"
"250","inline","inline"
"251","inner","inner"
"252","instances","instances"
"253","instrument","instrument"
"254","instrumentation","instrument"
"255","intermittent","intermittent"
"256","intermittently","intermittent"
"257","interstage","interstage"
"258","ip","ip"
"259","issue","issue"
"260","issues","issue"
"261","itl","itl"
"262","jacket","jacket"
"263","journal","journal"
"264","lagging","lagging"
"265","late","late"
"266","lb","lb"
"267","leak","leak"
"268","lined","lined"
"269","liquid","liquid"
"270","lo","lo"
"271","load","load"
"272","loss","loss"
"273","low","low"
"274","lower","lower"
"275","lp","lp"
"276","lube","lube"
"277","lvl","level"
"278","machine","machine"
"279","magnitude","magnitude"
"280","mass","mass"
"281","max","maximum"
"282","mech","mechanical"
"283","mechanical","mechanical"
"284","metal","metal"
"285","mill","mill"
"286","mills","mill"
"287","model","model"
