"","word","J","N","P","R","V","Final"
"1","temperature","101","3749","0","82","12","N"
"2","bearing","76","1393","0","6","1270","N"
"3","model","18","2268","0","0","35","N"
"4","vibration","53","1383","0","11","114","N"
"5","pressure","0","1249","0","0","2","N"
"6","trending","0","25","0","0","1047","V"
"7","flow","0","839","0","0","2","N"
"8","estimate","1","813","0","0","15","N"
"9","reading","0","147","0","0","644","V"
"10","tracking","0","86","0","0","704","V"
"11","increase","1","377","0","0","411","V"
"12","values","0","761","0","0","1","N"
"13","position","5","751","0","0","2","N"
"14","oil","0","664","0","0","0","N"
"15","tag","0","658","0","0","1","N"
"16","decreased","0","0","0","0","631","V"
"17","drum","0","629","0","0","1","N"
"18","turbine","1","588","0","0","7","N"
"19","low","560","2","0","19","0","J"
"20","gas","0","569","0","0","0","N"
"21","valve","27","529","0","7","3","N"
"22","generator","5","515","0","1","0","N"
"23","nde","301","211","0","5","3","J"
"24","seal","2","514","0","0","2","N"
"25","thrust","5","306","0","0","203","N"
"26","hp","102","347","1","8","27","N"
"27","flatlined","67","0","0","0","415","V"
"28","motor","3","477","0","0","0","N"
"29","pump","2","408","0","2","58","N"
"30","inlet","0","442","0","22","1","N"
"31","condition","0","451","0","0","0","N"
"32","dp","5","388","0","1","12","N"
"33","exhaust","50","343","0","6","6","N"
"34","metal","13","388","0","0","0","N"
"35","lower","389","0","0","6","5","J"
"36","discharge","8","388","0","0","3","N"
"37","ip","3","383","0","1","9","N"
"38","sensor","2","383","0","0","3","N"
"39","load","0","378","0","0","2","N"
"40","differential","300","74","0","0","0","J"
"41","outlet","0","350","0","0","1","N"
"42","range","0","319","0","0","30","N"
"43","step","0","330","0","0","18","N"
"44","tags","0","345","0","0","1","N"
"45","persists","0","337","0","0","5","N"
"46","current","299","41","0","0","0","J"
"47","lube","5","331","0","0","0","N"
"48","compressor","0","322","0","0","4","N"
"49","suction","0","326","0","0","0","N"
"50","ambient","231","81","0","0","1","J"
"51","erratic","308","4","0","0","0","J"
"52","axial","115","186","0","0","0","N"
"53","prediction","0","296","0","0","0","N"
"54","speed","0","288","0","0","7","N"
"55","air","1","277","0","0","0","N"
"56","lp","1","258","0","0","17","N"
"57","hrsg","55","164","20","8","22","N"
"58","elevated","117","0","0","0","151","V"
"59","startup","9","253","0","0","3","N"
"60","predicted","0","0","0","0","264","V"
"61","restart","1","255","0","0","7","N"
"62","spread","0","185","0","0","78","N"
"63","stepped","0","0","0","0","262","V"
"64","spiking","13","46","0","0","199","V"
"65","start","0","226","0","0","23","N"
"66","filter","0","241","0","2","2","N"
"67","estimates","0","219","0","0","12","N"
"68","dropped","0","0","0","0","229","V"
"69","water","1","226","0","0","0","N"
"70","th","200","21","0","0","3","J"
"71","fw","39","176","0","1","7","N"
"72","steam","0","220","0","0","0","N"
"73","steady","208","0","0","10","0","J"
"74","fan","0","198","0","0","5","N"
"75","wind","0","195","0","0","2","N"
"76","observed","13","0","0","0","172","V"
"77","run","0","145","0","0","40","N"
"78","spiked","33","0","0","0","152","V"
"79","continues","0","0","0","0","181","V"
"80","trend","0","115","0","0","66","N"
"81","remained","0","0","0","0","175","V"
"82","gearbox","0","169","0","0","1","N"
"83","control","0","164","0","0","3","N"
"84","gt","34","121","2","3","7","N"
"85","reporting","0","3","0","0","161","V"
"86","performance","0","162","0","0","0","N"
"87","spike","4","126","0","0","32","N"
"88","ph","4","156","0","0","0","N"
"89","thermocouple","5","139","3","7","6","N"
"90","wheelspace","1","154","0","0","2","N"
"91","spikes","0","137","0","0","14","N"
"92","cooler","56","93","0","0","0","N"
"93","power","0","148","0","0","0","N"
"94","increases","0","123","0","0","24","N"
"95","decrease","0","89","0","0","57","N"
"96","decreasing","0","6","0","0","139","V"
"97","mechanical","97","45","0","0","0","J"
"98","rotor","3","138","0","0","0","N"
"99","train","0","101","0","0","40","N"
"100","drain","0","129","0","0","11","N"
"101","trained","0","0","0","0","139","V"
"102","stator","0","138","0","0","0","N"
"103","purity","0","136","0","0","0","N"
"104","fuel","0","134","0","0","1","N"
"105","duct","0","130","0","0","2","N"
"106","ge","8","122","0","0","1","N"
"107","phase","0","124","0","0","0","N"
"108","readings","0","124","0","0","0","N"
"109","erratically","0","0","0","123","0","N"
"110","nans","0","109","0","8","0","N"
"111","predictions","0","115","0","0","0","N"
"112","tracked","0","0","0","0","114","V"
"113","journal","0","113","0","0","0","N"
"114","de","14","98","0","0","0","N"
"115","alarm","0","107","0","0","4","N"
"116","shaft","0","110","0","0","0","N"
"117","cleared","0","0","0","0","109","V"
"118","track","0","15","0","0","93","V"
"119","hydrogen","0","105","0","0","0","N"
"120","inactive","101","2","0","0","0","J"
"121","conductivity","0","102","0","0","0","N"
"122","conditions","0","101","0","0","0","N"
"123","demand","0","101","0","0","0","N"
"124","sensors","0","100","0","0","0","N"
"125","asset","0","99","0","0","0","N"
"126","perf","0","99","0","0","0","N"
"127","pressures","0","98","0","0","0","N"
"128","lo","0","90","0","0","5","N"
"129","burner","0","93","0","0","0","N"
"130","curtailed","0","0","0","0","92","V"
"131","reaching","0","0","0","0","89","V"
"132","ob","0","88","0","0","0","N"
"133","ib","2","84","0","0","0","N"
"134","read","0","0","0","0","83","V"
"135","st","38","37","0","2","6","J"
"136","notification","0","82","0","0","0","N"
"137","slowly","0","0","0","82","0","N"
"138","winding","0","0","0","0","82","V"
"139","detector","0","73","0","0","8","N"
"140","probe","0","80","0","0","0","N"
